rep,year,week,sero,disease,rate,type,total_pop,n_infected,n_symptomatic,actual_sero,elim,a_mort,j_mort
1,1,1,0.0,0.0,1,propagule,940,0,0,0.0,True,0.001,0.015
1,1,2,0.0,0.0,1,propagule,933,0,0,0.0,True,0.001,0.015
1,1,3,0.0,0.0,1,propagule,919,0,0,0.001088139281828074,True,0.001,0.015
1,1,4,0.0,0.0,1,propagule,924,0,0,0.004329004329004329,True,0.001,0.015
1,1,5,0.0,0.0,1,propagule,906,0,0,0.004415011037527594,True,0.001,0.015
1,1,6,0.0,0.0,1,propagule,893,0,0,0.004479283314669653,True,0.001,0.015
1,1,7,0.0,0.0,1,propagule,873,0,0,0.004581901489117984,True,0.001,0.015
1,1,8,0.0,0.0,1,propagule,869,0,0,0.004602991944764097,True,0.001,0.015
1,1,9,0.0,0.0,1,propagule,849,0,0,0.004711425206124852,True,0.001,0.015
1,1,10,0.0,0.0,1,propagule,842,0,0,0.004750593824228029,True,0.001,0.015
1,1,11,0.0,0.0,1,propagule,829,0,0,0.0036188178528347406,True,0.001,0.015
1,1,12,0.0,0.0,1,propagule,825,0,0,0.0048484848484848485,True,0.001,0.015
1,1,13,0.0,0.0,1,propagule,817,0,0,0.004895960832313341,True,0.001,0.015
1,1,14,0.0,0.0,1,propagule,815,0,0,0.0049079754601227,True,0.001,0.015
1,1,15,0.0,0.0,1,propagule,806,0,0,0.0037220843672456576,True,0.001,0.015
1,1,16,0.0,0.0,1,propagule,798,0,0,0.005012531328320802,True,0.001,0.015
1,1,17,0.0,0.0,1,propagule,789,0,0,0.0038022813688212928,True,0.001,0.015
1,1,18,0.0,0.0,1,propagule,2185,0,0,0.0018306636155606408,True,0.001,0.015
1,1,19,0.0,0.0,1,propagule,2151,0,0,0.001394700139470014,True,0.001,0.015
1,1,20,0.0,0.0,1,propagule,2111,0,0,0.0018948365703458077,True,0.001,0.015
1,1,21,0.0,0.0,1,propagule,2059,0,0,0.0014570179698882952,True,0.001,0.015
1,1,22,0.0,0.0,1,propagule,2034,0,0,0.0019665683382497543,True,0.001,0.015
1,1,23,0.0,0.0,1,propagule,1995,0,0,0.0015037593984962407,True,0.001,0.015
1,1,24,0.0,0.0,1,propagule,1942,0,0,0.001544799176107106,True,0.001,0.015
1,1,25,0.0,0.0,1,propagule,1924,0,0,0.002079002079002079,True,0.001,0.015
1,1,26,0.0,0.0,1,propagule,1888,0,0,0.0026483050847457626,True,0.001,0.015
1,1,27,0.0,0.0,1,propagule,1868,0,0,0.003747323340471092,True,0.001,0.015
1,1,28,0.0,0.0,1,propagule,1832,0,0,0.0027292576419213972,True,0.001,0.015
1,1,29,0.0,0.0,1,propagule,1809,0,0,0.003869541182974019,True,0.001,0.015
1,1,30,0.0,0.0,1,propagule,1787,0,0,0.00391717963066592,True,0.001,0.015
1,1,31,0.0,0.0,1,propagule,1752,0,0,0.0045662100456621,True,0.001,0.015
1,1,32,0.0,0.0,1,propagule,1734,0,0,0.004036908881199538,True,0.001,0.015
1,1,33,0.0,0.0,1,propagule,1727,0,0,0.004632310364794441,True,0.001,0.015
1,1,34,0.0,0.0,1,propagule,1700,0,0,0.0058823529411764705,True,0.001,0.015
1,1,35,0.0,0.0,1,propagule,1697,0,0,0.0076605774896876845,True,0.001,0.015
1,1,36,0.0,0.0,1,propagule,1636,0,0,0.008557457212713936,True,0.001,0.015
1,1,37,0.0,0.0,1,propagule,1651,0,0,0.015142337976983646,True,0.001,0.015
1,1,38,0.0,0.0,1,propagule,1611,0,0,0.013656114214773432,True,0.001,0.015
1,1,39,0.0,0.0,1,propagule,1609,0,0,0.016159105034182723,True,0.001,0.015
1,1,40,0.0,0.0,1,propagule,1565,0,0,0.012779552715654952,True,0.001,0.015
1,1,41,0.0,0.0,1,propagule,1574,0,0,0.014612452350698857,True,0.001,0.015
1,1,42,0.0,0.0,1,propagule,1542,0,0,0.014267185473411154,True,0.001,0.015
1,1,43,0.0,0.0,1,propagule,1553,0,0,0.022537025112685124,True,0.001,0.015
1,1,44,0.0,0.0,1,propagule,1536,0,0,0.021484375,True,0.001,0.015
1,1,45,0.0,0.0,1,propagule,1523,0,0,0.023637557452396585,True,0.001,0.015
